experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Motion-reference,motion_reference,42,20,,,116.752496100,8.000000000,0.000100000,0.848157139,0.798213747,0.838725531,14.791453953,15.284685306
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Random,random,42,20,,,116.752496100,8.000000000,0.000100000,0.091448716,0.101852839,0.078367535,14.246646877,14.558277509
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,116.752496100,8.000000000,0.000100000,0.104130912,0.109235824,0.086641076,14.200018151,14.522629851
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT-fusion,rat_fusion,42,20,,,116.752496100,8.000000000,0.000100000,0.412907847,0.395098301,0.394143371,14.781250668,15.219593153
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,116.752496100,8.000000000,0.000100000,0.117077142,0.117101272,0.095375410,14.099828789,14.418314289
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,VideoMAE-only,videomae_only,42,20,,,116.752496100,8.000000000,0.000100000,0.000000000,0.022125125,0.000487113,13.199159984,13.461295897
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT+traj,rat_traj,42,30,,,142.992020820,8.000000000,0.000100000,0.418492525,0.414165442,0.403974669,13.000981258,13.314290357
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Motion-reference,motion_reference,42,30,,,142.992020820,8.000000000,0.000100000,0.852924999,0.825130569,0.845553092,13.068650811,13.427213314
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Random,random,42,30,,,142.992020820,8.000000000,0.000100000,0.138449892,0.136226042,0.116684025,12.540218917,12.755707061
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,30,3,4,142.992020820,8.000000000,0.000100000,0.164246992,0.152950617,0.133601337,12.432051982,12.659676971
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT-fusion,rat_fusion,42,30,,,142.992020820,8.000000000,0.000100000,0.442581714,0.435478996,0.427435381,13.052140837,13.373687083
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,30,3,4,142.992020820,8.000000000,0.000100000,0.175896795,0.163108600,0.144405109,12.428247279,12.658630159
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,VideoMAE-only,videomae_only,42,30,,,142.992020820,8.000000000,0.000100000,0.019254729,0.032452907,0.012960714,11.686610103,11.882239017
E2,BalanceBeam_v_BalanceBeam_g10_c03,BalanceBeam,RAT+traj,rat_traj,42,40,,,165.112963425,8.000000000,0.000100000,0.454401519,0.445594338,0.434220799,11.783102827,12.023897877
